"","endpoint","field","data_type","can_query","group","common_name","description"
"205","cpc_subsections","ipc_last_seen_date","date","y","ipcs","Last Seen Date","Grant date of the most recent patent in the database within a IPC group"
"206","cpc_subsections","ipc_main_group","string","y","ipcs","Main Group","Subdivisions of the IPC subclass"
"207","cpc_subsections","ipc_section","string","y","ipcs","Section","Highest hierarchical levels of the IPC corresponding to broad technical fields ( A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity)"
"208","cpc_subsections","ipc_subclass","string","y","ipcs","Subclass","Subdivisions IPC class"
"209","cpc_subsections","ipc_subgroup","string","y","ipcs","Subgroup","Subdivisions of IPC main group"
"210","cpc_subsections","ipc_symbol_position","string","y","ipcs","Position","First or later position of symbols. The position of the first invention information classification can be recognized by this field. The letters ""F"" and ""L"" are used for the first and later position, respectively."
"211","cpc_subsections","ipc_total_num_assignees","integer","y","ipcs","Total Number of Assignees","Total number of unique assignees on patents within an IPC class"
"212","cpc_subsections","ipc_total_num_inventors","integer","y","ipcs","Total Number of Inventors","Total number of unique inventors on patents within an IPC class"
"213","cpc_subsections","ipc_version_indicator","date","n","ipcs","Version Indicator","The version of the IPC classification system"
"214","cpc_subsections","nber_category_id","string","y","nbers","Category ID","National Bureau of Economic Research (NBER) technology category ID (see nber_category_title for details)"
"215","cpc_subsections","nber_category_title","string","y","nbers","Category Title","Description of NBER category"
"216","cpc_subsections","nber_first_seen_date","date","y","nbers","First Seen Date","Grant date of the earliest patent in the database within a NBER subcategory"
"217","cpc_subsections","nber_last_seen_date","date","y","nbers","Last Seen Date","Grant date of the most recent patent in the database within a NBER subcategory"
"218","cpc_subsections","nber_subcategory_id","string","y","nbers","Subcategory ID","NBER subcategory ID (see nber_subcategory_title for details)"
"219","cpc_subsections","nber_subcategory_title","string","y","nbers","Subcategory Title","Description of NBER subcategory"
"220","cpc_subsections","nber_total_num_assignees","integer","y","nbers","Total Number of Assignees","Total number of unique assignees on patents within a NBER subcategory"
"221","cpc_subsections","nber_total_num_inventors","integer","y","nbers","Total Number of Inventors","Total number of unique inventors on patents within a NBER subcategory"
"222","cpc_subsections","nber_total_num_patents","integer","y","nbers","Total Number of Patents","Total number of patents within a NBER subcategory"
"223","cpc_subsections","patent_abstract","fulltext","n","patents","Abstract","Abstract of the patent"
"224","cpc_subsections","patent_date","date","y","patents","Grant Date","Date patent was granted"
"225","cpc_subsections","patent_firstnamed_assignee_city","string","y","patents","First Named Assignee City","City of the location of the first-named (i.e. first in the list) assignee on the patent"
"226","cpc_subsections","patent_firstnamed_assignee_country","string","y","patents","First Named Assignee Country","Country of the location of the first-named (i.e. first in the list) assignee on the patent"
"227","cpc_subsections","patent_firstnamed_assignee_id","string","y","patents","First Named Assignee ID","Assignee ID (assignee_id) for the first-named (i.e. first in the list) assignee on the patent"
"228","cpc_subsections","patent_firstnamed_assignee_latitude","float","n","patents","First Named Assignee Latitude","Latitude of the location of the first-named (i.e. first in the list) assignee on the patent"
